Abbrev,Lat,Long,Name,IncomeTaxes
AL,32.6010112,-86.6807365,Alabama,"7,552,679"
AK,61.3025006,-158.7750198,Alaska,"413,175"
AZ,34.1682185,-111.930907,Arizona,"8,693,348"
AR,34.7519275,-92.1313784,Arkansas,"4,544,583"
CA,37.2718745,-119.2704153,California,"192,195,516"
CO,38.9979339,-105.550567,Colorado,"13,194,479"
CT,41.5187835,-72.757507,Connecticut,"13,348,748"
DE,39.145251,-75.4189206,Delaware,"2,903,928"
DC,38.8993487,-77.0145666,District of Columbia,"4,108,314"
FL,27.9757279,-83.8330166,Florida,"3,780,770"
GA,32.6781248,-83.2229757,Georgia,"20,796,528"
HI,20.46,-157.505,Hawaii,"4,074,729"
ID,45.4945756,-114.1424303,Idaho,"3,635,505"
IL,39.739318,-89.504139,Illinois,"32,327,125"
IN,39.7662195,-86.441277,Indiana,"13,288,580"
IA,41.9383166,-93.389798,Iowa,"5,834,787"
KS,38.4987789,-98.3200779,Kansas,"5,704,392"
KY,37.8222935,-85.7682399,Kentucky,"7,349,096"
LA,30.9733766,-91.4299097,Louisiana,"5,518,637"
ME,45.2185133,-69.0148656,Maine,"3,006,721"
MD,38.8063524,-77.2684162,Maryland,"14,370,565"
MA,42.0629398,-71.718067,Massachusetts,"29,000,910"
MI,44.9435598,-86.4158049,Michigan,"14,674,116"
MN,46.4418595,-93.3655146,Minnesota,"19,860,533"
MS,32.5851062,-89.8772196,Mississippi,"3,248,506"
MO,38.3046615,-92.437099,Missouri,"9,694,630"
MT,46.6797995,-110.044783,Montana,"2,678,206"
NE,41.5008195,-99.680902,Nebraska,"3,954,644"
NV,38.502032,-117.0230604,Nevada,X
NH,44.0012306,-71.5799231,New Hampshire,"1,366,620"
NJ,40.1430058,-74.7311156,New Jersey,"29,290,446"
NM,34.1662325,-106.0260685,New Mexico,"1,611,166"
NY,40.7056258,-73.97968,New York,"77,977,711"
NC,35.2145629,-79.8912675,North Carolina,"19,303,124"
ND,47.4678819,-100.3022655,North Dakota,"702,126"
OH,40.1903624,-82.6692525,Ohio,"11,247,715"
OK,35.3097654,-98.7165585,Oklahoma,"4,969,501"
OR,44.1419049,-120.5380993,Oregon,"13,261,860"
PA,40.9945928,-77.6046984,Pennsylvania,"22,389,126"
RI,41.5827282,-71.5064508,Rhode Island,"2,229,803"
SC,33.62505,-80.9470381,South Carolina,"8,059,011"
SD,44.2126995,-100.2471641,South Dakota,"61,818"
TN,35.830521,-85.9785989,Tennessee,"3,008,777"
TX,31.1693363,-100.0768425,Texas,X
UT,39.4997605,-111.547028,Utah,"7,747,848"
VT,43.8717545,-72.4477828,Vermont,"1,508,701"
VA,38.0033855,-79.4587861,Virginia,"21,711,446"
WA,47.4,-121.49,Washington,X
WV,38.9201705,-80.1816905,West Virginia,"2,869,144"
WI,44.7862968,-89.8267049,Wisconsin,"11,922,098"
WY,43.000325,-107.5545669,Wyoming,X